impl,scalar_opt
num_of_runs,20
runtimes, 25660595427, 27545890241, 28639589189, 26485935255, 25391134653, 25344191746, 25316511735, 25350525059, 25352305896, 25384926726, 25327609502, 25333572092, 25338539312, 25336703149, 25526568148, 25498546120, 25386643339, 29344087543, 29688731353, 29182995234
avg,25396312350
