impl,scalar_opt
num_of_runs,20
runtimes, 230743491, 222600426, 220498058, 223132254, 220863973, 224252266, 224512727, 222162558, 251486100, 255362162, 225889306, 227486014, 223669759, 227702363, 224014156, 227346554, 227640941, 224305071, 227470547, 225808140
avg,225005478
