impl,scalar_opt
num_of_runs,20
runtimes, 2114592886, 2124792037, 2147331060, 2146989524, 2188322487, 2234232144, 2230626625, 2225715944, 2271035611, 2216293185, 2216855118, 2226117915, 2215558606, 2222729899, 2214703854, 2217701247, 2211865527, 2217649789, 2216234161, 2220742977
avg,2204004529
