impl,scalar_naive
num_of_runs,20
runtimes, 976665345, 976968751, 974221405, 984400918, 987501012, 980949054, 962865737, 997249556, 983213091, 982900595, 986843261, 994868411, 988237131, 989294559, 981817870, 990255984, 989220147, 992369397, 989003950, 1070233552
avg,984676114
