impl,scalar_naive
num_of_runs,20
runtimes, 110183915125, 113521353882, 110377864175, 113344524928, 137906955697, 110692535649, 110123324948, 109908360104, 109851896619, 114732876568, 109147970562, 116250585418, 110286572540, 108769568038, 108714360697, 108840591239, 108777389552, 108871864204, 108914982766, 108969673103
avg,111218584463
