impl,scalar_naive
num_of_runs,20
runtimes, 11248129749, 11225750678, 11135429915, 11133704259, 11138617975, 11130450363, 11132714202, 11162959741, 11138174981, 11145399546, 11129448222, 11160699465, 11139633386, 11138609064, 11198245742, 11274619813, 11267418947, 11149916916, 11134570779, 11148470298
avg,11166648202
