impl,scalar_opt
num_of_runs,20
runtimes, 233081486, 229300626, 229259361, 227369986, 231052983, 230428202, 229165334, 233016154, 233511940, 233096906, 230968834, 234847128, 234826461, 234372315, 232536867, 236046841, 234999599, 236007230, 234149186, 236991219
avg,232751432
