impl,scalar_opt
num_of_runs,20
runtimes, 24523383999, 25399153718, 25520034311, 25613184575, 25632251657, 25692193134, 25859213467, 25727475773, 25693012210, 25693721617, 25720927431, 25731711958, 26201341159, 25773986658, 25921641778, 25858178041, 25787819667, 25784712914, 25780964654, 25787020070
avg,25746239199
