impl,scalar_opt
num_of_runs,20
runtimes, 4171203, 4084955, 3851700, 4068614, 4211364, 4189117, 3915176, 3937965, 3973601, 4223660, 3897614, 3894849, 3844067, 3932388, 3729241, 4092555, 4034821, 3880516, 4178438, 4133508
avg,4012267
