impl,scalar_opt
num_of_runs,20
runtimes, 1799744188, 1830214494, 1851352682, 1856800916, 1871391580, 1877394658, 1882200078, 1938278490, 1977817599, 1983415597, 2018337623, 1963288328, 1955751317, 1950890823, 1947157883, 1945428084, 1944764854, 1944145347, 1946609868, 1944937505
avg,1921496095
