impl,scalar_opt
num_of_runs,20
runtimes, 231313923, 217925841, 214778812, 217711542, 217035946, 222125419, 219649257, 222844988, 224213085, 223560298, 222221580, 218916813, 222134881, 220034027, 223003383, 220931164, 222834135, 223922408, 221122628, 224593502
avg,221543681
