impl,scalar_opt
num_of_runs,20
runtimes, 1765156617, 1770191981, 1785125755, 1791888514, 1791870270, 1798109848, 1807592850, 1853691561, 1908474582, 1910537541, 1982008812, 1899729907, 1892457789, 1893696662, 1895478697, 1895389143, 1895474776, 1898951228, 1895307261, 1896855786
avg,1861399479
