impl,scalar_opt
num_of_runs,20
runtimes, 23063301453, 23745040959, 23890072231, 23836263772, 24039664843, 24675680772, 24717885540, 24040625531, 24163759763, 24029651364, 27535147515, 25522780018, 25187188905, 25748686005, 25714551948, 24583075296, 24650123576, 25278667650, 24674957439, 24624192015
avg,24536114162
