impl,scalar_opt
num_of_runs,20
runtimes, 4434546, 4070016, 4008204, 3867782, 4068896, 4212310, 3570367, 3579530, 3682427, 3841875, 4031576, 3870840, 3803699, 3807995, 3660317, 3772371, 3848686, 3485429, 3772058, 3830121
avg,3860952
